	sample	lambda
176	('EP247202', 13, 'EP247202_K130_BS1D.otu_table.biom')	1.0
177	('EP247202', 8, 'EP247202_K80_BS1D.otu_table.biom')	1.0
178	('EP247445', 14, 'EP247445_K140_BS1D.otu_table.biom')	0.68
179	('EP247445', 8, 'EP247445_K80_BS1D.otu_table.biom')	1.0
180	('EP249375', 3, 'EP249375_K30_BS1D.otu_table.biom')	1.0
181	('EP249375', 6, 'EP249375_K60_BS1D.otu_table.biom')	0.0
182	('EP251134', 10, 'EP251134_K100_BS1D.otu_table.biom')	1.0
183	('EP251134', 9, 'EP251134_K90_BS1D.otu_table.biom')	1.0
184	('EP253266', 8, 'EP253266_K80_BSTD.otu_table.biom')	0.0
185	('EP255636', 4, 'EP255636_K40_BS1D.otu_table.biom')	0.0
186	('EP255636', 5, 'EP255636_K50_BS1D.otu_table.biom')	1.0
187	('EP256139', 3, 'EP256139_K30_BS1D.otu_table.biom')	0.88
188	('EP256139', 4, 'EP256139_K40_BS1D.otu_table.biom')	1.0
189	('EP256568', 4, 'EP256568_K40_BS1D.otu_table.biom')	0.0
190	('EP256568', 9, 'EP256568_K90_BS1D.otu_table.biom')	1.0
191	('EP257801', 5, 'EP257801_K50_BS1D.otu_table.biom')	0.0
192	('EP261740', 12, 'EP261740_K120_BS1D.otu_table.biom')	1.0
193	('EP261740', 9, 'EP261740_K90_BS1D.otu_table.biom')	0.0
194	('EP264961', 4, 'EP264961_K40_BSTD.otu_table.biom')	1.0
195	('EP266239', 5, 'EP266239_K50_BS1D.otu_table.biom')	1.0
196	('EP266239', 7, 'EP266239_K70_BS1D.otu_table.biom')	0.0
197	('EP271595', 8, 'EP271595_K80_BS1D.otu_table.biom')	0.62
198	('EP272531', 11, 'EP272531_K110_BS1D.otu_table.biom')	0.0
199	('EP272531', 8, 'EP272531_K80_BS1D.otu_table.biom')	0.0
200	('EP273248', 14, 'EP273248_K140_BS1D.otu_table.biom')	1.0
201	('EP273248', 17, 'EP273248_K170_BS1D.otu_table.biom')	1.0
202	('EP273248', 8, 'EP273248_K80_BS1D.otu_table.biom')	1.0
203	('EP273248', 9, 'EP273248_K90_BS1D.otu_table.biom')	1.0
204	('EP273768', 5, 'EP273768_K50_BSTD.otu_table.biom')	0.0
205	('EP275797', 10, 'EP275797_K100_BS1D.otu_table.biom')	0.0
206	('EP275797', 7, 'EP275797_K70_BS1D.otu_table.biom')	1.0
207	('EP280575', 6, 'EP280575_K60_BS1D.otu_table.biom')	0.0
208	('EP280575', 8, 'EP280575_K80_BS1D.otu_table.biom')	1.0
209	('EP280926', 6, 'EP280926_K60_BSTD.otu_table.biom')	1.0
210	('EP283033', 4, 'EP283033_K40_BS1D.otu_table.biom')	1.0
211	('EP283033', 5, 'EP283033_K50_BS1D.otu_table.biom')	0.0
212	('EP284529', 13, 'EP284529_K130_BS1D.otu_table.biom')	1.0
213	('EP285481', 10, 'EP285481_K100_BS1D.otu_table.biom')	1.0
214	('EP285481', 12, 'EP285481_K120_BS1D.otu_table.biom')	1.0
215	('EP285481', 6, 'EP285481_K60_BS1D.otu_table.biom')	0.0
216	('EP285481', 8, 'EP285481_K80_BS1D.otu_table.biom')	0.0
217	('EP285667', 10, 'EP285667_K100_BS1D.otu_table.biom')	0.0
218	('EP285935', 7, 'EP285935_K70_BS1D.otu_table.biom')	0.89
219	('EP286550', 6, 'EP286550_K60_BS1D.otu_table.biom')	0.0
220	('EP287690', 7, 'EP287690_K70_BS1D.otu_table.biom')	1.0
221	('EP287690', 9, 'EP287690_K90_BS1D.otu_table.biom')	0.0
222	('EP288001', 4, 'EP288001_K40_BS1D.otu_table.biom')	0.78
223	('EP288001', 5, 'EP288001_K50_BS1D.otu_table.biom')	1.0
224	('EP288825', 12, 'EP288825_K120_BS1D.otu_table.biom')	0.0
225	('EP288825', 9, 'EP288825_K90_BS1D.otu_table.biom')	0.0
226	('EP291560', 7, 'EP291560_K70_BS1D.otu_table.biom')	0.0
227	('EP291560', 8, 'EP291560_K80_BS1D.otu_table.biom')	0.0
228	('EP291588', 10, 'EP291588_K100_BS1D.otu_table.biom')	1.0
229	('EP291588', 15, 'EP291588_K150_BS1D.otu_table.biom')	1.0
230	('EP291636', 12, 'EP291636_K120_BS1D.otu_table.biom')	0.0
231	('EP291636', 7, 'EP291636_K70_BS1D.otu_table.biom')	0.0
232	('EP292127', 2, 'EP292127_K20_BS1D.otu_table.biom')	1.0
233	('EP292135', 4, 'EP292135_K40_BS1D.otu_table.biom')	1.0
234	('EP292135', 7, 'EP292135_K70_BS1D.otu_table.biom')	1.0
235	('EP295439', 15, 'EP295439_K150_BS1D.otu_table.biom')	0.0
236	('EP296970', 6, 'EP296970_K60_BS1D.otu_table.biom')	0.0
237	('EP296970', 7, 'EP296970_K70_BS1D.otu_table.biom')	0.0
238	('EP300768', 12, 'EP300768_K120_BS1D.otu_table.biom')	1.0
239	('EP300768', 15, 'EP300768_K150_BS1D.otu_table.biom')	0.0
240	('EP304007', 6, 'EP304007_K60_BS1D.otu_table.biom')	1.0
241	('EP307640', 10, 'EP307640_K100_BS1D.otu_table.biom')	0.0
242	('EP307640', 5, 'EP307640_K50_BS1D.otu_table.biom')	1.0
243	('EP310863', 5, 'EP310863_K50_BS1D.otu_table.biom')	0.0
244	('EP310863', 8, 'EP310863_K80_BS1D.otu_table.biom')	0.0
245	('EP311478', 10, 'EP311478_K100_BS1D.otu_table.biom')	1.0
246	('EP311478', 9, 'EP311478_K90_BS1D.otu_table.biom')	0.0
247	('EP312022', 9, 'EP312022_K90_BS1D.otu_table.biom')	1.0
248	('EP312275', 7, 'EP312275_K70_BS1D.otu_table.biom')	1.0
249	('EP312275', 9, 'EP312275_K90_BS1D.otu_table.biom')	0.0
250	('EP313109', 6, 'EP313109_K60_BSTD.otu_table.biom')	1.0
251	('EP314756', 10, 'EP314756_K100_BS1D.otu_table.biom')	1.0
252	('EP314756', 13, 'EP314756_K130_BS1D.otu_table.biom')	1.0
253	('EP316551', 6, 'EP316551_K60_BS1D.otu_table.biom')	0.86
254	('EP316551', 7, 'EP316551_K70_BS1D.otu_table.biom')	0.0
255	('EP319072', 5, 'EP319072_K50_BS1D.otu_table.biom')	1.0
256	('EP323428', 6, 'EP323428_K60_BS1D.otu_table.biom')	0.0
257	('EP323428', 7, 'EP323428_K70_BS1D.otu_table.biom')	0.0
258	('EP325547', 8, 'EP325547_K80_BS1D.otu_table.biom')	0.0
259	('EP325547', 9, 'EP325547_K90_BS1D.otu_table.biom')	0.0
260	('EP325577', 2, 'EP325577_K20_BS1D.otu_table.biom')	0.0
261	('EP327746', 5, 'EP327746_K50_BS1D.otu_table.biom')	1.0
262	('EP327746', 6, 'EP327746_K60_BS1D.otu_table.biom')	1.0
263	('EP328824', 10, 'EP328824_K100_BS1D.otu_table.biom')	0.0
264	('EP328824', 8, 'EP328824_K80_BS1D.otu_table.biom')	0.0
265	('EP331612', 6, 'EP331612_K60_BS1D.otu_table.biom')	1.0
266	('EP333268', 11, 'EP333268_K110_BS1D.otu_table.biom')	1.0
267	('EP333268', 14, 'EP333268_K140_BS1D.otu_table.biom')	0.0
268	('EP333479', 4, 'EP333479_K40_BS1D.otu_table.biom')	1.0
269	('EP333479', 6, 'EP333479_K60_BS1D.otu_table.biom')	1.0
270	('EP336335', 10, 'EP336335_K100_BS1D.otu_table.biom')	0.0
271	('EP336335', 5, 'EP336335_K50_BS1D.otu_table.biom')	0.0
272	('EP337457', 6, 'EP337457_K60_BS1D.otu_table.biom')	1.0
273	('EP337457', 7, 'EP337457_K70_BS1D.otu_table.biom')	0.0
274	('EP338059', 6, 'EP338059_K60_BS1D.otu_table.biom')	0.0
275	('EP342029', 2, 'EP342029_K20_BS1D.otu_table.biom')	1.0
276	('EP342029', 3, 'EP342029_K30_BS1D.otu_table.biom')	1.0
277	('EP346384', 11, 'EP346384_K110_BS1D.otu_table.biom')	1.0
278	('EP346384', 9, 'EP346384_K90_BS1D.otu_table.biom')	0.0
279	('EP346571', 11, 'EP346571_K110_BS1D.otu_table.biom')	1.0
280	('EP353148', 12, 'EP353148_K120_BS1D.otu_table.biom')	0.0
281	('EP360379', 7, 'EP360379_K70_BSTD.otu_table.biom')	0.0
282	('EP361548', 6, 'EP361548_K60_BS1D.otu_table.biom')	0.49
283	('EP361548', 8, 'EP361548_K80_BS1D.otu_table.biom')	0.0
284	('EP362721', 4, 'EP362721_K40_BS1D.otu_table.biom')	1.0
285	('EP362721', 5, 'EP362721_K50_BS1D.otu_table.biom')	1.0
286	('EP364626', 6, 'EP364626_K60_BS1D.otu_table.biom')	1.0
287	('EP364626', 9, 'EP364626_K90_BS1D.otu_table.biom')	1.0
288	('EP366104', 5, 'EP366104_K50_BSTD.otu_table.biom')	1.0
289	('EP368327', 7, 'EP368327_K70_BS1D.otu_table.biom')	0.0
290	('EP368562', 5, 'EP368562_K50_BS1D.otu_table.biom')	1.0
291	('EP368562', 9, 'EP368562_K90_BS1D.otu_table.biom')	1.0
292	('EP370370', 6, 'EP370370_K60_BS1D.otu_table.biom')	1.0
293	('EP371302', 9, 'EP371302_K90_BS1D.otu_table.biom')	0.0
294	('EP373403', 3, 'EP373403_K30_BS1D.otu_table.biom')	1.0
295	('EP373403', 4, 'EP373403_K40_BS1D.otu_table.biom')	1.0
296	('EP376025', 8, 'EP376025_K80_BS1D.otu_table.biom')	1.0
297	('EP376101', 5, 'EP376101_K50_BS1D.otu_table.biom')	1.0
298	('EP376101', 6, 'EP376101_K60_BS1D.otu_table.biom')	1.0
299	('EP376326', 10, 'EP376326_K100_BS1D.otu_table.biom')	0.0
300	('EP376326', 9, 'EP376326_K90_BS1D.otu_table.biom')	1.0
301	('EP377475', 7, 'EP377475_K70_BS1D.otu_table.biom')	0.0
302	('EP377475', 8, 'EP377475_K80_BS1D.otu_table.biom')	1.0
303	('EP388069', 4, 'EP388069_K40_BS1D.otu_table.biom')	1.0
304	('EP389265', 3, 'EP389265_K30_BS1D.otu_table.biom')	1.0
305	('EP389265', 4, 'EP389265_K40_BS1D.otu_table.biom')	0.0
306	('EP389504', 10, 'EP389504_K100_BS1D.otu_table.biom')	1.0
307	('EP389504', 13, 'EP389504_K130_BS1D.otu_table.biom')	0.0
308	('EP389504', 16, 'EP389504_K160_BS1D.otu_table.biom')	1.0
309	('EP391714', 11, 'EP391714_K110_BS1D.otu_table.biom')	1.0
310	('EP391714', 9, 'EP391714_K90_BS1D.otu_table.biom')	1.0
311	('EP392045', 5, 'EP392045_K50_BS1D.otu_table.biom')	0.0
312	('EP392047', 8, 'EP392047_K80_BS1D.otu_table.biom')	1.0
313	('EP392122', 5, 'EP392122_K50_BSTD.otu_table.biom')	0.0
314	('EP396857', 13, 'EP396857_K130_BS1D.otu_table.biom')	1.0
315	('EP396857', 16, 'EP396857_K160_BS1D.otu_table.biom')	0.68
316	('EP401821', 4, 'EP401821_K40_BS1D.otu_table.biom')	0.0
317	('EP401821', 7, 'EP401821_K70_BS1D.otu_table.biom')	0.0
318	('EP404399', 7, 'EP404399_K70_BS1D.otu_table.biom')	0.0
319	('EP404399', 8, 'EP404399_K80_BS1D.otu_table.biom')	1.0
320	('EP406987', 7, 'EP406987_K70_BS1D.otu_table.biom')	1.0
321	('EP407012', 6, 'EP407012_K60_BS1D.otu_table.biom')	1.0
322	('EP410533', 11, 'EP410533_K110_BS1D.otu_table.biom')	0.93
323	('EP410533', 9, 'EP410533_K90_BS1D.otu_table.biom')	0.0
324	('EP413477', 10, 'EP413477_K100_BS1D.otu_table.biom')	0.0
325	('EP413477', 5, 'EP413477_K50_BS1D.otu_table.biom')	1.0
326	('EP416787', 7, 'EP416787_K70_BS1D.otu_table.biom')	0.0
327	('EP418446', 4, 'EP418446_K40_BS1D.otu_table.biom')	0.0
328	('EP422409', 11, 'EP422409_K110_BS1D.otu_table.biom')	1.0
329	('EP422409', 13, 'EP422409_K130_BS1D.otu_table.biom')	1.0
330	('EP422409', 16, 'EP422409_K160_BS1D.otu_table.biom')	1.0
331	('EP422409', 8, 'EP422409_K80_BS1D.otu_table.biom')	0.0
332	('EP424615', 7, 'EP424615_K70_BS1D.otu_table.biom')	1.0
333	('EP424615', 9, 'EP424615_K90_BS1D.otu_table.biom')	0.0
334	('EP426527', 6, 'EP426527_K60_BS1D.otu_table.biom')	1.0
335	('EP426527', 8, 'EP426527_K80_BS1D.otu_table.biom')	1.0
336	('EP426750', 4, 'EP426750_K40_BS1D.otu_table.biom')	1.0
337	('EP426750', 5, 'EP426750_K50_BS1D.otu_table.biom')	1.0
338	('EP428956', 5, 'EP428956_K50_BS1D.otu_table.biom')	1.0
339	('EP428956', 6, 'EP428956_K60_BS1D.otu_table.biom')	0.0
340	('EP428956', 9, 'EP428956_K90_BS1D.otu_table.biom')	0.0
341	('EP429081', 4, 'EP429081_K40_BS1D.otu_table.biom')	0.0
342	('EP429081', 8, 'EP429081_K80_BS1D.otu_table.biom')	0.0
343	('EP432041', 6, 'EP432041_K60_BS1D.otu_table.biom')	0.0
344	('EP432041', 7, 'EP432041_K70_BS1D.otu_table.biom')	1.0
345	('EP435885', 3, 'EP435885_K30_BS1D.otu_table.biom')	1.0
346	('EP435885', 5, 'EP435885_K50_BS1D.otu_table.biom')	1.0
347	('EP436435', 11, 'EP436435_K110_BS1D.otu_table.biom')	1.0
348	('EP436435', 8, 'EP436435_K80_BS1D.otu_table.biom')	0.0
349	('EP437943', 10, 'EP437943_K100_BS1D.otu_table.biom')	0.0
350	('EP437943', 12, 'EP437943_K120_BS1D.otu_table.biom')	0.51
351	('EP438112', 6, 'EP438112_K60_BS1D.otu_table.biom')	0.0
352	('EP438714', 10, 'EP438714_K100_BS1D.otu_table.biom')	0.0
353	('EP438714', 7, 'EP438714_K70_BS1D.otu_table.biom')	0.0
354	('EP439098', 11, 'EP439098_K110_BS1D.otu_table.biom')	1.0
355	('EP439098', 12, 'EP439098_K120_BS1D.otu_table.biom')	1.0
356	('EP442697', 10, 'EP442697_K100_BS1D.otu_table.biom')	1.0
357	('EP442697', 7, 'EP442697_K70_BS1D.otu_table.biom')	0.0
