	sample	lambda
125	('EP052210', 2, 'EP052210_K20_MCKD.otu_table.biom')	0.0
126	('EP052210', 4, 'EP052210_K40_MCKD.otu_table.biom')	0.0
127	('EP052210', 6, 'EP052210_K60_BCKD.otu_table.biom')	0.0
128	('EP052210', 9, 'EP052210_K90_MCKD.otu_table.biom')	0.0
129	('EP056457', 2, 'EP056457_K20_MCKD.otu_table.biom')	0.0
130	('EP056457', 3, 'EP056457_K30_BC1D.otu_table.biom')	0.0
131	('EP059416', 2, 'EP059416_K20_MCKD.otu_table.biom')	0.0
132	('EP059416', 3, 'EP059416_K30_MCKD.otu_table.biom')	0.48
133	('EP059416', 4, 'EP059416_K40_MCKD.otu_table.biom')	1.0
134	('EP059416', 6, 'EP059416_K60_BCKD.otu_table.biom')	1.0
135	('EP059416', 7, 'EP059416_K70_BCKD.otu_table.biom')	0.0
136	('EP059416', 9, 'EP059416_K90_MCKD.otu_table.biom')	0.0
137	('EP062329', 2, 'EP062329_K20_MCKD.otu_table.biom')	0.0
138	('EP062329', 3, 'EP062329_K30_MCKD.otu_table.biom')	0.0
139	('EP062329', 4, 'EP062329_K40_MCKD.otu_table.biom')	0.97
140	('EP062329', 5, 'EP062329_K50_MCKD.otu_table.biom')	0.0
141	('EP062329', 6, 'EP062329_K60_BCKD.otu_table.biom')	0.0
142	('EP062329', 8, 'EP062329_K80_BCKD.otu_table.biom')	0.0
143	('EP062329', 9, 'EP062329_K90_MCKD.otu_table.biom')	1.0
144	('EP063938', 2, 'EP063938_K20_MCKD.otu_table.biom')	0.0
145	('EP063938', 3, 'EP063938_K30_MCKD.otu_table.biom')	0.0
146	('EP063938', 4, 'EP063938_K40_MCKD.otu_table.biom')	0.0
147	('EP063938', 7, 'EP063938_K70_BCKD.otu_table.biom')	0.0
148	('EP063938', 8, 'EP063938_K80_MCKD.otu_table.biom')	0.0
149	('EP063938', 9, 'EP063938_K90_BCKD.otu_table.biom')	0.49
150	('EP065458', 1, 'EP065458_K10_MCKD.otu_table.biom')	0.0
151	('EP065458', 2, 'EP065458_K20_MCKD.otu_table.biom')	0.0
152	('EP065458', 3, 'EP065458_K30_MCKD.otu_table.biom')	0.0
153	('EP065458', 4, 'EP065458_K40_MCKD.otu_table.biom')	0.0
154	('EP065458', 8, 'EP065458_K80_BCKD.otu_table.biom')	1.0
155	('EP065458', 9, 'EP065458_K90_MCKD.otu_table.biom')	1.0
156	('EP066677', 5, 'EP066677_K50_BCKD.otu_table.biom')	0.0
157	('EP067259', 2, 'EP067259_K20_MCKD.otu_table.biom')	0.07
158	('EP067259', 3, 'EP067259_K30_MCKD.otu_table.biom')	0.0
159	('EP067259', 4, 'EP067259_K40_MCKD.otu_table.biom')	0.0
160	('EP067259', 6, 'EP067259_K60_BCKD.otu_table.biom')	0.0
161	('EP067259', 8, 'EP067259_K80_MCKD.otu_table.biom')	1.0
162	('EP067259', 9, 'EP067259_K90_BCKD.otu_table.biom')	1.0
163	('EP070043', 2, 'EP070043_K20_MCKD.otu_table.biom')	0.0
164	('EP070043', 3, 'EP070043_K30_MCKD.otu_table.biom')	0.0
165	('EP070043', 4, 'EP070043_K40_MCKD.otu_table.biom')	1.0
166	('EP070043', 6, 'EP070043_K60_BCKD.otu_table.biom')	0.0
167	('EP070043', 7, 'EP070043_K70_BCKD.otu_table.biom')	0.0
168	('EP070043', 9, 'EP070043_K90_MCKD.otu_table.biom')	0.53
169	('EP072314', 11, 'EP072314_K110_MCKD.otu_table.biom')	0.0
170	('EP072314', 3, 'EP072314_K30_MCKD.otu_table.biom')	0.0
171	('EP072314', 5, 'EP072314_K50_MCKD.otu_table.biom')	1.0
172	('EP072314', 7, 'EP072314_K70_BCKD.otu_table.biom')	1.0
173	('EP072463', 8, 'EP072463_K80_BCKD.otu_table.biom')	0.0
174	('EP074002', 3, 'EP074002_K30_BCKD.otu_table.biom')	0.0
175	('EP074002', 6, 'EP074002_K60_BCKD.otu_table.biom')	0.0
176	('EP074002', 7, 'EP074002_K70_MCKD.otu_table.biom')	0.1
177	('EP075340', 4, 'EP075340_K40_MCKD.otu_table.biom')	0.0
178	('EP075340', 7, 'EP075340_K70_MCKD.otu_table.biom')	0.0
179	('EP075428', 2, 'EP075428_K20_BCKD.otu_table.biom')	0.0
180	('EP075428', 5, 'EP075428_K50_BCKD.otu_table.biom')	0.0
181	('EP075428', 6, 'EP075428_K60_MCKD.otu_table.biom')	0.0
182	('EP075428', 7, 'EP075428_K70_MCKD.otu_table.biom')	0.0
183	('EP077500', 2, 'EP077500_K20_BCKD.otu_table.biom')	0.0
184	('EP077500', 3, 'EP077500_K30_MCKD.otu_table.biom')	0.0
185	('EP077500', 5, 'EP077500_K50_BCKD.otu_table.biom')	0.0
186	('EP077500', 6, 'EP077500_K60_MCKD.otu_table.biom')	0.0
187	('EP080581', 2, 'EP080581_K20_BCKD.otu_table.biom')	0.0
188	('EP080581', 5, 'EP080581_K50_MCKD.otu_table.biom')	0.0
189	('EP080581', 6, 'EP080581_K60_BCKD.otu_table.biom')	0.0
190	('EP080581', 7, 'EP080581_K70_MCKD.otu_table.biom')	0.0
191	('EP081373', 2, 'EP081373_K20_MCKD.otu_table.biom')	0.0
192	('EP081373', 3, 'EP081373_K30_MCKD.otu_table.biom')	0.51
193	('EP081373', 4, 'EP081373_K40_MCKD.otu_table.biom')	1.0
194	('EP081373', 5, 'EP081373_K50_MCKD.otu_table.biom')	0.84
195	('EP081373', 6, 'EP081373_K60_BCKD.otu_table.biom')	0.0
196	('EP081373', 8, 'EP081373_K80_MCKD.otu_table.biom')	0.0
