	sample	lambda
127	('EP072314', 3, 'EP072314_K30_MRCD.otu_table.biom')	1.0
128	('EP072314', 5, 'EP072314_K50_MRCD.otu_table.biom')	1.0
129	('EP072314', 7, 'EP072314_K70_BRCD.otu_table.biom')	1.0
130	('EP072463', 2, 'EP072463_K20_MRCD.otu_table.biom')	0.0
131	('EP072463', 8, 'EP072463_K80_BRCD.otu_table.biom')	1.0
132	('EP074002', 2, 'EP074002_K20_MRCD.otu_table.biom')	0.0
133	('EP074002', 3, 'EP074002_K30_BRCD.otu_table.biom')	1.0
134	('EP074002', 6, 'EP074002_K60_BRCD.otu_table.biom')	0.59
135	('EP075340', 4, 'EP075340_K40_MRCD.otu_table.biom')	0.46
136	('EP075340', 7, 'EP075340_K70_MRCD.otu_table.biom')	0.51
137	('EP075428', 5, 'EP075428_K50_BRCD.otu_table.biom')	0.0
138	('EP075428', 7, 'EP075428_K70_MRCD.otu_table.biom')	0.0
139	('EP077500', 2, 'EP077500_K20_BRCD.otu_table.biom')	0.0
140	('EP077500', 5, 'EP077500_K50_BRCD.otu_table.biom')	0.0
141	('EP077500', 7, 'EP077500_K70_MRCD.otu_table.biom')	0.0
142	('EP080581', 2, 'EP080581_K20_BRCD.otu_table.biom')	0.0
143	('EP080581', 6, 'EP080581_K60_BRCD.otu_table.biom')	0.0
144	('EP081373', 2, 'EP081373_K20_MRCD.otu_table.biom')	0.0
145	('EP081373', 3, 'EP081373_K30_MRCD.otu_table.biom')	1.0
146	('EP081373', 4, 'EP081373_K40_MRCD.otu_table.biom')	1.0
147	('EP081373', 5, 'EP081373_K50_MRCD.otu_table.biom')	1.0
148	('EP081373', 6, 'EP081373_K60_BRCD.otu_table.biom')	0.0
149	('EP081373', 9, 'EP081373_K90_BRCD.otu_table.biom')	0.0
150	('EP082756', 11, 'EP082756_K110_BRCD.otu_table.biom')	0.0
151	('EP082756', 2, 'EP082756_K20_MRCD.otu_table.biom')	0.0
152	('EP082756', 3, 'EP082756_K30_MRCD.otu_table.biom')	0.0
153	('EP082756', 4, 'EP082756_K40_MRCD.otu_table.biom')	1.0
154	('EP082756', 5, 'EP082756_K50_MRCD.otu_table.biom')	1.0
155	('EP082756', 6, 'EP082756_K60_MRCD.otu_table.biom')	0.0
156	('EP082756', 9, 'EP082756_K90_BRCD.otu_table.biom')	0.5
157	('EP087695', 2, 'EP087695_K20_MRCD.otu_table.biom')	0.0
158	('EP087695', 3, 'EP087695_K30_MRCD.otu_table.biom')	0.0
159	('EP087695', 4, 'EP087695_K40_MRCD.otu_table.biom')	0.0
160	('EP087695', 5, 'EP087695_K50_BRCD.otu_table.biom')	0.0
161	('EP087695', 7, 'EP087695_K70_BRCD.otu_table.biom')	0.0
162	('EP090829', 2, 'EP090829_K20_MRCD.otu_table.biom')	0.0
163	('EP090829', 3, 'EP090829_K30_MRCD.otu_table.biom')	0.0
164	('EP090829', 4, 'EP090829_K40_MRCD.otu_table.biom')	1.0
165	('EP090829', 9, 'EP090829_K90_BRCD.otu_table.biom')	0.0
166	('EP094101', 3, 'EP094101_K30_BRCD.otu_table.biom')	0.0
167	('EP094101', 4, 'EP094101_K40_BRCD.otu_table.biom')	0.0
168	('EP096310', 2, 'EP096310_K20_BRCD.otu_table.biom')	0.0
169	('EP096310', 5, 'EP096310_K50_BRCD.otu_table.biom')	0.0
170	('EP097937', 2, 'EP097937_K20_MRCD.otu_table.biom')	1.0
171	('EP097937', 3, 'EP097937_K30_MRCD.otu_table.biom')	1.0
172	('EP097937', 5, 'EP097937_K50_BRCD.otu_table.biom')	1.0
173	('EP098909', 2, 'EP098909_K20_MRCD.otu_table.biom')	0.0
174	('EP098909', 3, 'EP098909_K30_MRCD.otu_table.biom')	0.0
