	sample	lambda
120	('EP093201', 2, 'EP093201_K20_MV1D.otu_table.biom')	1.0
121	('EP093201', 4, 'EP093201_K40_MV1D.otu_table.biom')	1.0
122	('EP093201', 6, 'EP093201_K60_MV1D.otu_table.biom')	1.0
123	('EP096310', 7, 'EP096310_K70_MV1D.otu_table.biom')	0.0
124	('EP096728', 2, 'EP096728_K20_MV1D.otu_table.biom')	1.0
125	('EP096728', 3, 'EP096728_K30_MV1D.otu_table.biom')	1.0
126	('EP096728', 4, 'EP096728_K40_MV1D.otu_table.biom')	1.0
127	('EP097937', 2, 'EP097937_K20_MV1D.otu_table.biom')	0.0
128	('EP097937', 3, 'EP097937_K30_MV1D.otu_table.biom')	0.0
129	('EP098909', 2, 'EP098909_K20_MV1D.otu_table.biom')	0.0
130	('EP098909', 3, 'EP098909_K30_MV1D.otu_table.biom')	0.0
131	('EP098909', 4, 'EP098909_K40_MV1D.otu_table.biom')	0.0
132	('EP100948', 2, 'EP100948_K20_MV1D.otu_table.biom')	0.0
133	('EP100948', 3, 'EP100948_K30_MV1D.otu_table.biom')	0.0
134	('EP100948', 4, 'EP100948_K40_MV1D.otu_table.biom')	0.0
135	('EP101319', 2, 'EP101319_K20_MV1D.otu_table.biom')	1.0
136	('EP101319', 3, 'EP101319_K30_MV1D.otu_table.biom')	1.0
137	('EP101319', 4, 'EP101319_K40_MV1D.otu_table.biom')	1.0
138	('EP101628', 11, 'EP101628_K110_MV1D.otu_table.biom')	0.0
139	('EP101628', 2, 'EP101628_K20_MV1D.otu_table.biom')	0.0
140	('EP101628', 3, 'EP101628_K30_MV1D.otu_table.biom')	0.0
141	('EP101628', 4, 'EP101628_K40_MV1D.otu_table.biom')	0.0
142	('EP101628', 5, 'EP101628_K50_MV1D.otu_table.biom')	0.0
143	('EP104056', 2, 'EP104056_K20_MV1D.otu_table.biom')	0.0
144	('EP104056', 3, 'EP104056_K30_MV1D.otu_table.biom')	0.63
145	('EP104056', 5, 'EP104056_K50_MV1D.otu_table.biom')	0.0
146	('EP111886', 2, 'EP111886_K20_MV1D.otu_table.biom')	0.0
147	('EP111886', 3, 'EP111886_K30_MV1D.otu_table.biom')	1.0
148	('EP111886', 4, 'EP111886_K40_MV1D.otu_table.biom')	1.0
149	('EP113416', 2, 'EP113416_K20_MV1D.otu_table.biom')	1.0
150	('EP113416', 3, 'EP113416_K30_MV1D.otu_table.biom')	1.0
151	('EP113416', 4, 'EP113416_K40_MV1D.otu_table.biom')	1.0
152	('EP113600', 2, 'EP113600_K20_MV1D.otu_table.biom')	0.0
153	('EP113600', 3, 'EP113600_K30_MV1D.otu_table.biom')	0.0
154	('EP113600', 4, 'EP113600_K40_MV1D.otu_table.biom')	0.0
155	('EP113883', 2, 'EP113883_K20_MV1D.otu_table.biom')	0.0
156	('EP113883', 3, 'EP113883_K30_MV1D.otu_table.biom')	0.0
157	('EP117219', 3, 'EP117219_K30_MV1D.otu_table.biom')	0.0
158	('EP117219', 4, 'EP117219_K40_MV1D.otu_table.biom')	0.0
159	('EP117702', 2, 'EP117702_K20_MV1D.otu_table.biom')	0.0
160	('EP117702', 3, 'EP117702_K30_MV1D.otu_table.biom')	0.0
161	('EP117702', 4, 'EP117702_K40_MV1D.otu_table.biom')	0.0
162	('EP117915', 7, 'EP117915_K70_MV1D.otu_table.biom')	0.0
163	('EP120862', 15, 'EP120862_K150_MV1D.otu_table.biom')	0.0
164	('EP123585', 2, 'EP123585_K20_MV1D.otu_table.biom')	1.0
165	('EP123900', 2, 'EP123900_K20_MV1D.otu_table.biom')	0.0
166	('EP123900', 3, 'EP123900_K30_MV1D.otu_table.biom')	0.0
167	('EP123900', 4, 'EP123900_K40_MV1D.otu_table.biom')	0.0
168	('EP123900', 5, 'EP123900_K50_MV1D.otu_table.biom')	0.0
169	('EP126323', 2, 'EP126323_K20_MV1D.otu_table.biom')	0.0
170	('EP126323', 3, 'EP126323_K30_MV1D.otu_table.biom')	0.0
171	('EP129024', 2, 'EP129024_K20_MV1D.otu_table.biom')	0.0
172	('EP129024', 3, 'EP129024_K30_MV1D.otu_table.biom')	0.0
173	('EP129024', 4, 'EP129024_K40_MV1D.otu_table.biom')	0.0
174	('EP129845', 2, 'EP129845_K20_MV1D.otu_table.biom')	0.0
175	('EP129845', 4, 'EP129845_K40_MV1D.otu_table.biom')	0.0
176	('EP129845', 5, 'EP129845_K50_MV1D.otu_table.biom')	0.0
177	('EP129845', 6, 'EP129845_K60_MV1D.otu_table.biom')	0.0
178	('EP131173', 2, 'EP131173_K20_MV1D.otu_table.biom')	0.0
179	('EP131173', 3, 'EP131173_K30_MV1D.otu_table.biom')	0.0
180	('EP131173', 4, 'EP131173_K40_MV1D.otu_table.biom')	0.0
181	('EP131838', 2, 'EP131838_K20_MV1D.otu_table.biom')	0.0
182	('EP131838', 3, 'EP131838_K30_MV1D.otu_table.biom')	0.0
183	('EP131838', 4, 'EP131838_K40_MV1D.otu_table.biom')	0.0
184	('EP134204', 11, 'EP134204_K110_MV1D.otu_table.biom')	0.0
185	('EP134204', 2, 'EP134204_K20_MV1D.otu_table.biom')	1.0
186	('EP134204', 3, 'EP134204_K30_MV1D.otu_table.biom')	1.0
187	('EP134204', 4, 'EP134204_K40_MV1D.otu_table.biom')	0.0
188	('EP134204', 5, 'EP134204_K50_MV1D.otu_table.biom')	1.0
189	('EP136122', 2, 'EP136122_K20_MV1D.otu_table.biom')	0.0
190	('EP136122', 3, 'EP136122_K30_MV1D.otu_table.biom')	0.0
191	('EP136122', 4, 'EP136122_K40_MV1D.otu_table.biom')	1.0
192	('EP136122', 5, 'EP136122_K50_MV1D.otu_table.biom')	0.0
193	('EP136122', 6, 'EP136122_K60_MV1D.otu_table.biom')	0.0
194	('EP145184', 2, 'EP145184_K20_MV1D.otu_table.biom')	0.0
195	('EP145184', 3, 'EP145184_K30_MV1D.otu_table.biom')	0.0
196	('EP145184', 9, 'EP145184_K90_MV1D.otu_table.biom')	0.0
197	('EP153366', 2, 'EP153366_K20_MV1D.otu_table.biom')	0.0
198	('EP153366', 3, 'EP153366_K30_MV1D.otu_table.biom')	0.0
199	('EP153366', 4, 'EP153366_K40_MV1D.otu_table.biom')	0.0
200	('EP153366', 5, 'EP153366_K50_MV1D.otu_table.biom')	0.0
201	('EP153366', 6, 'EP153366_K60_MV1D.otu_table.biom')	0.0
202	('EP153366', 7, 'EP153366_K70_MV1D.otu_table.biom')	0.0
203	('EP154266', 15, 'EP154266_K150_MV1D.otu_table.biom')	0.0
204	('EP154266', 2, 'EP154266_K20_MV1D.otu_table.biom')	0.0
205	('EP154266', 4, 'EP154266_K40_MV1D.otu_table.biom')	0.0
206	('EP154266', 5, 'EP154266_K50_MV1D.otu_table.biom')	0.0
207	('EP154266', 6, 'EP154266_K60_MV1D.otu_table.biom')	0.0
208	('EP154266', 7, 'EP154266_K70_MV1D.otu_table.biom')	0.0
209	('EP154266', 8, 'EP154266_K80_MV1D.otu_table.biom')	0.0
210	('EP154266', 9, 'EP154266_K90_MV1D.otu_table.biom')	0.0
211	('EP155239', 2, 'EP155239_K20_MV1D.otu_table.biom')	0.0
212	('EP164977', 2, 'EP164977_K20_MV1D.otu_table.biom')	0.0
213	('EP164977', 3, 'EP164977_K30_MV1D.otu_table.biom')	0.0
214	('EP164977', 4, 'EP164977_K40_MV1D.otu_table.biom')	0.0
215	('EP164977', 5, 'EP164977_K50_MV1D.otu_table.biom')	0.0
216	('EP164977', 6, 'EP164977_K60_MV1D.otu_table.biom')	0.0
217	('EP169772', 3, 'EP169772_K30_MV1D.otu_table.biom')	0.0
218	('EP171330', 3, 'EP171330_K30_MV1D.otu_table.biom')	0.0
219	('EP171330', 4, 'EP171330_K40_MV1D.otu_table.biom')	0.0
220	('EP171330', 5, 'EP171330_K50_MV1D.otu_table.biom')	0.0
221	('EP171330', 6, 'EP171330_K60_MV1D.otu_table.biom')	0.0
222	('EP171330', 7, 'EP171330_K70_MV1D.otu_table.biom')	0.0
223	('EP172676', 3, 'EP172676_K30_MV1D.otu_table.biom')	1.0
224	('EP172676', 4, 'EP172676_K40_MV1D.otu_table.biom')	0.53
225	('EP172676', 5, 'EP172676_K50_MV1D.otu_table.biom')	0.0
226	('EP174763', 2, 'EP174763_K20_MV1D.otu_table.biom')	0.0
227	('EP174763', 3, 'EP174763_K30_MV1D.otu_table.biom')	1.0
228	('EP175456', 2, 'EP175456_K20_MV1D.otu_table.biom')	0.0
229	('EP175456', 3, 'EP175456_K30_MV1D.otu_table.biom')	1.0
230	('EP175456', 4, 'EP175456_K40_MV1D.otu_table.biom')	0.0
231	('EP175456', 5, 'EP175456_K50_MV1D.otu_table.biom')	0.0
232	('EP182444', 7, 'EP182444_K70_MV1D.otu_table.biom')	0.0
233	('EP182444', 8, 'EP182444_K80_MV1D.otu_table.biom')	0.0
234	('EP186689', 2, 'EP186689_K20_MV1D.otu_table.biom')	0.0
235	('EP190835', 2, 'EP190835_K20_MV1D.otu_table.biom')	0.0
